ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
1	Gyalsumdo	Head	ko	ko	k o	k o	1284
2	Gyalsumdo	Hair	ta	ta	t̪ a	t̪ a	1282
3	Gyalsumdo	Eye	mi	mi	m i	m i	1246
4	Gyalsumdo	Ear	amtɕo	amtɕo	a m + tɕ o	a.m + tɕ o	1239
5	Gyalsumdo	Ear	amdʑo	amdʑo	a m + !dʑ/tɕ o	a.m + !dʑ/tɕ o	1239
6	Gyalsumdo	Nose	naɾki	naɾki	n aɾ/a + k i	n aɾ/a + k i	1352
7	Gyalsumdo	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
8	Gyalsumdo	Teeth	so	so	s o	s o	1446
9	Gyalsumdo	Tongue	tɕemu	tɕemu	tɕ e + m u	tɕ e + m u	1444
10	Gyalsumdo	Breast	oma	oma	o + m a	o + m a	1211
11	Gyalsumdo	Breast	ɦoma	ɦoma	ɦ o + m a	ɦ o + m a	1211
12	Gyalsumdo	Belly	toba	toba	t̪ o + b a	t̪ o + b a	1193
13	Gyalsumdo	Skin	paɡpa	paɡpa	p a g/k + p a	p a.g/k + p a	1389
14	Gyalsumdo	Skin	poɡo	poɡo	p o + g o	p o + g o	1389
15	Gyalsumdo	Bone	ɹoɡo	ɹoɡo	ɹ o + g o	ɹ o + g o	1208
16	Gyalsumdo	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
17	Gyalsumdo	Blood	tʰak	tʰak	t̪ʰ a k	t̪ʰ a.k	1206
18	Gyalsumdo	House	kʰaŋpa	kʰaŋpa	kʰ a ŋ + p a	kʰ a.ŋ + p a	402
19	Gyalsumdo	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
20	Gyalsumdo	Knife	kaɾt̪a	kaɾt̪a	k a ɾ + t̪ a	k a.ɾ + t̪ a	422
21	Gyalsumdo	Rope	t̪ʰaɡpa	t̪ʰaɡpa	t̪ʰ a !g/k + p a	t̪ʰ a.!g/k + p a	1374
22	Gyalsumdo	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
23	Gyalsumdo	Sun	ɲima	ɲima	ɲ i + m a	ɲ i + m a	1418
24	Gyalsumdo	Moon	t̪akaɹ	t̪akaɹ	t̪ a + k a ɹ	t̪ a + k a.ɹ	1327
25	Gyalsumdo	Moon	t̪awa	t̪awa	t̪ a + w a	t̪ a + w a	1327
26	Gyalsumdo	Sky	nam	nam	n a m	n a.m	1392
27	Gyalsumdo	Star	kaɹma	kaɹma	k a ɹ + m a	k a.ɹ + m a	1410
28	Gyalsumdo	Water	tɕʰu	tɕʰu	tɕʰ u	tɕʰ u	1458
29	Gyalsumdo	River	tsaŋpu	tsaŋpu	ts a ŋ + p u	ts a.ŋ + p u	1368
30	Gyalsumdo	Cloud	muɡpa	muɡpa	m u g/k + p a	m u.g/k + p a	176
31	Gyalsumdo	Rainbow	sa	sa	s a	s a	534
32	Gyalsumdo	Wind	hlawa	hlawa	h l a + w a	h.l a + w a	1486
33	Gyalsumdo	Stone	t̪o	t̪o	t̪ o	t̪ o	1416
34	Gyalsumdo	Sand	pema	pema	p e + m a	p e + m a	1382
35	Gyalsumdo	Fire	me	me	m e	m e	1251
36	Gyalsumdo	Mud	sa	sa	s a	s a	534
37	Gyalsumdo	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	1237
38	Gyalsumdo	Tree	t̪oŋbu	t̪oŋbu	t̪ o ŋ + b u	t̪ o.ŋ + b u	1039
39	Gyalsumdo	Leaf	lapt̪i	lapt̪i	l a p + t̪ i	l a.p + t̪ i	430
40	Gyalsumdo	Leaf	loma	loma	l o + m a	l o + m a	1315
41	Gyalsumdo	Root	pat̪a	pat̪a	p a + t̪ a	p a + t̪ a	686
42	Gyalsumdo	Flower	mend̪o	mend̪o	m e + ⁿd̪/d̪ o	m e + ⁿd̪/d̪ o	1257
43	Gyalsumdo	Fruit	ɕiŋd̪o	ɕiŋd̪o	ɕ i ŋ + d̪ o	ɕ i.ŋ + d̪ o	1263
44	Gyalsumdo	Wheat (husked)	to	to	t̪ o	t̪ o	1091
45	Gyalsumdo	Barley	tsəu	tsəu	ts əu	ts əu	1190
46	Gyalsumdo	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
47	Gyalsumdo	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
48	Gyalsumdo	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
49	Gyalsumdo	Egg	koŋa	koŋa	k o + ŋ a	k o + ŋ a	1242
50	Gyalsumdo	Horns	ɹakjo	ɹakjo	ɹ a + k j o	ɹ a + k.j o	1292
51	Gyalsumdo	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
52	Gyalsumdo	Goat	ɹa	ɹa	ɹ a	ɹ a	1269
53	Gyalsumdo	Dog	kjupu	kjupu	!k/kʰ j u + p u	!k/kʰ.j u + p u	1231
54	Gyalsumdo	Dog	ki	ki	!k/kʰ i	!k/kʰ i	1231
55	Gyalsumdo	Snake	tul	tul	t̪ u l	t̪ u.l	1401
56	Gyalsumdo	Mosquito	lamkute	lamkute	l a m + k u + t̪ e	l a.m + k u + t̪ e	523
57	Gyalsumdo	Ant	tomaɹ	tomaɹ	t̪ o + m a ɹ	t̪ o + m a.ɹ	1183
58	Gyalsumdo	Spider	palba	palba	p a l + b a	p a.l + b a	748
59	Gyalsumdo	Name	miŋ	miŋ	m i ŋ	m i.ŋ	1344
60	Gyalsumdo	Woman	pomo	pomo	p o + m o	p o + m o	1227
61	Gyalsumdo	Father	apa	apa	a + p a	a + p a	1249
62	Gyalsumdo	Mother	ama	ama	a + m a	a + m a	1338
63	Gyalsumdo	Son	pitsa	pitsa	p i + ts a	p i + ts a	1403
64	Gyalsumdo	Daughter	pomo	pomo	p o + m o	p o + m o	1227
65	Gyalsumdo	Husband	kʰjoka	kʰjoka	kʰ j o + k a	kʰ.j o + k a	1304
66	Gyalsumdo	Husband	kʰjoɡa	kʰjoɡa	kʰ j o + g a	kʰ.j o + g a	1304
67	Gyalsumdo	Wife	keɹme	keɹme	k e ɹ + m e	k e.ɹ + m e	71
68	Gyalsumdo	Morning	namʑen	namʑen	n a m + ʑ e n	n a.m + ʑ e.n	92
69	Gyalsumdo	Yesterday	t̪aŋ	t̪aŋ	t̪ a ŋ	t̪ a.ŋ	1151
70	Gyalsumdo	Today	t̪iɹiŋ	t̪iɹiŋ	t̪ i + ɹ i ŋ	t̪ i + ɹ i.ŋ	1438
71	Gyalsumdo	Tomorrow	ŋato	ŋato	ŋ a !Ø/ɹ + t̪ o	ŋ a.!Ø/ɹ + t̪ o	1028
72	Gyalsumdo	Year	lo	lo	l o	l o	1494
73	Gyalsumdo	New	sampa	sampa	s a + ⁿp/p a	s a + ⁿp/p a	1349
74	Gyalsumdo	Good	jabu	jabu	j a + b u	j a + b u	1272
75	Gyalsumdo	Bad	majabu	majabu	m a + j a + b u	m a + j a + b u	33
76	Gyalsumdo	Wet	taŋmu	taŋmu	t̪ a ŋ + m u	t̪ a.ŋ + m u	179
77	Gyalsumdo	Dry	kəmpu	kəmpu	k ə m + p u	k ə.m + p u	1234
78	Gyalsumdo	Long	ɹiŋbu	ɹiŋbu	ɹ i ŋ + b u	ɹ i.ŋ + b u	1321
79	Gyalsumdo	Short	t̪øma	t̪øma	t̪ ø + m a	t̪ ø + m a	1386
80	Gyalsumdo	Hot	tsʰant̪i	tsʰant̪i	tsʰ a + ⁿt̪/t̪ i	tsʰ a + ⁿt̪/t̪ i	1296
81	Gyalsumdo	Cold	taŋmu	taŋmu	t̪ a ŋ + m u	t̪ a.ŋ + m u	179
82	Gyalsumdo	Right	jøba	jøba	j ø + b a	j ø + b a	1365
83	Gyalsumdo	Left	jøma	jøma	j ø + m a	j ø + m a	1317
84	Gyalsumdo	Near	ɲemu	ɲemu	ɲ e + m u	ɲ e + m u	1345
85	Gyalsumdo	Far	t̪ʰaɹiŋbu	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i ŋ + b u	t̪ʰ a + ɹ i.ŋ + b u	1247
86	Gyalsumdo	Big	tɕʰjumbu	tɕʰjumbu	tɕʰj/tɕʰ u + ⁿb/b u	tɕʰj/tɕʰ u + ⁿb/b u	1195
87	Gyalsumdo	Small	tɕema	tɕema	!tɕ/tɕʰ e + m a	!tɕ/tɕʰ e + m a	731
88	Gyalsumdo	Heavy	tɕent̪i	tɕent̪i	tɕ e + ⁿt̪/t̪ i	tɕ e + ⁿt̪/t̪ i	1290
89	Gyalsumdo	Light	jaŋmu	jaŋmu	j a ŋ + m u	j a.ŋ + m u	1319
90	Gyalsumdo	Above	ɲala	ɲala	ɲ a + l a	ɲ a + l a	180
91	Gyalsumdo	White	kaɹpu	kaɹpu	k a ɹ + p u	k a.ɹ + p u	1472
92	Gyalsumdo	Black	nakpu	nakpu	n a k + p u	n a.k + p u	1203
93	Gyalsumdo	Red	maɹpu	maɹpu	m a ɹ + p u	m a.ɹ + p u	1360
94	Gyalsumdo	One	tɕiɡ	tɕiɡ	tɕ i g/k	tɕ i.g/k	1354
95	Gyalsumdo	Two	ɲi	ɲi	ɲ i	ɲ i	1067
96	Gyalsumdo	Three	sum	sum	s u m	s u.m	1433
97	Gyalsumdo	Four	ɕi	ɕi	ɕ i	ɕ i	1230
98	Gyalsumdo	Five	ŋa	ŋa	ŋ a	ŋ a	1310
99	Gyalsumdo	Six	tuk	tuk	!t̪/t̪ʰ u k	!t̪/t̪ʰ u.k	1388
100	Gyalsumdo	Six	tʰuk	tʰuk	t̪ʰ u k	t̪ʰ u.k	1388
101	Gyalsumdo	Seven	t̪yn	t̪yn	t̪ y n	t̪ y.n	1384
102	Gyalsumdo	Eight	ke	ke	k e	k e	1245
103	Gyalsumdo	Nine	ku	ku	k u	k u	1351
