NUMBER	CONCEPTICON_GLOSS	CONCEPTICON_ID	ENGLISH	NEPALI
1	ABOVE	1741	Above	माथि
2	ALL	98	All	सबै
3	ANT	587	Ant	कमिला
4	ARM OR HAND	2121	Arm/Hand	हात
5	ASH	646	Ash	खरानी
6	AUBERGINE	1146	Eggplant	भन्टा
7	AXE	677	Axe	वन्चरो
8	BAD	1292	Bad	नराम्रो (खराव)
9	BANANA	868	Banana	केरा
10	BARLEY	932	Barley	जौ
11	BEAM	1132	Beam (main wooden beam)	निदाल
12	BEAR	1820	Bear	भालु
13	BE HUNGRY	1533	To be hungry	भोकाउनु
14	BELLY	1251	Belly	पेट
15	BIG	1202	Big	ठुलो
16	BITE	1403	To bite	टोक्नु
17	BLACK	163	Black	कालो
18	BLOOD	946	Blood	रगत
19	BOARD	1227	Plank	फल्याक
20	BODY	1480	Body	शरीर
21	BONE	1394	Bone	हाड
22	BOY	1366	Boy	केटो
23	BEARD	678	Beard	दाह्री
24	BREAD	1368	Bread	रोटी
25	BREAST	1402	Breast	स्तन
26	BROKEN	588	Broken	फुटेको
27	BROOM	245	Broom	कुचो
28	BUFFALO	934	Buffalo	भैँसी
29	BURN (SOMETHING)	141	To burn	डढाउनु
30	CABBAGE	774	Cabbage	बन्दा
31	CAULIFLOWER	2843	Cauliflower	काउली
32	CHEW	321	To chew	चपाउनु
33	CHICKEN	1318	Chicken	चल्ला
34	CHILD	2099	Child	बच्चा
35	CLOTH	1616	Cloth	लुगा (कपडा)
36	CLOUD	1489	Cloud	बादल
37	COLD	1287	Cold	चिसो
38	COME	1446	To come	आउनु
39	CORPSE	767	Corpse	लास
40	COW	1007	Cow	गाइ
41	DAUGHTER	1357	Daughter	छोरी
42	DAY (NOT NIGHT)	1225	Day	दिन
43	DIE	1494	To die	मर्नु
44	DIFFERENT	2504	Different	फरक
45	DOG	2009	Dog	कुकुर
46	DOOR	1567	Door	ढोका
47	BELOW OR UNDER	1485	Below	तल
48	DRINK	1401	To drink	पिउनु
49	DRY	1398	Dry	सुख्खा
50	DUNG (ANIMAL FAECES)	2057	Manure	मल
51	DUST	2	Dust	धुलो
52	EAR	1247	Ear	कान
53	EAT	1336	To eat	खानु
54	EGG	744	Egg	अन्डा
55	EIGHT	1705	Eight	आठ
56	ELBOW	981	Elbow	कुइनो
57	ELEVEN	1706	Eleven	एघार
58	EVENING	1629	Evening	साँझ
59	EYE	1248	Eye	आँखा
60	FACE	1560	Face	अनुहार
61	FAECES (EXCREMENT)	675	Faeces	दिसा
62	FAR	1406	Far	टाढा
63	FATHER	1217	Father	बुबा
64	FAT (FROM ANIMALS)	1282	Fat (of meat)	बोसो
65	FEW	1242	Few	थोरै
66	FINGER	1303	Finger	औँला
67	FINGERNAIL	1258	Fingernail	नङ
68	FIRE	221	Fire	आगो
69	FIREWOOD	10	Firewood	दाउरा
70	FISH	227	Fish	माछा
71	FIVE	493	Five	पाँच
72	FLOUR	1594	Flour (eaten as food)	पिठो
73	FLOWER	239	Flower	फूल
74	FLY (MOVE THROUGH AIR)	1441	To fly	उड्नु
